date,interest_rate
2021-05-09,53.48007664657067
2021-05-10,53.48564466895727
2021-05-11,53.44345477622417
2021-05-12,53.50260276802477
2021-05-13,53.48256468070608
2021-05-14,53.506994416183296
2021-05-15,53.506994416183296
2021-05-16,53.506994416183296
2021-05-17,53.500107000403204
2021-05-18,53.56710456931916
2021-05-19,53.13446285548546
2021-05-20,49.63639900952518
2021-05-21,53.207039790291894
2021-05-22,53.207039790291894
2021-05-23,53.207039790291894
2021-05-24,53.207039790291894
2021-05-25,53.245169675953655
2021-05-26,53.190486636549736
2021-05-27,53.2835004871204
2021-05-28,53.20917922552884
2021-05-29,53.20917922552884
2021-05-30,53.20917922552884
2021-05-31,53.11502501665873
2021-06-01,53.29042523574913
2021-06-02,53.25328968626858
2021-06-03,53.35552642162941
2021-06-04,53.40315709182748
2021-06-05,53.40315709182748
2021-06-06,53.40315709182748
2021-06-07,53.38552027668068
2021-06-08,53.22948651803047
2021-06-09,53.75277534447182
2021-06-10,53.24357498104849
2021-06-11,53.19124153406691
2021-06-12,53.19124153406691
2021-06-13,53.19124153406691
2021-06-14,53.19124153406691
2021-06-15,53.340674089049266
2021-06-16,53.40061915773921
2021-06-17,53.39145289515149
2021-06-18,53.018796067303626
2021-06-19,53.018796067303626
2021-06-20,53.018796067303626
2021-06-21,53.135234785725544
2021-06-22,53.12631225610175
2021-06-23,53.18928209141593
2021-06-24,53.18928209141593
2021-06-25,53.20852704312076
2021-06-26,53.20852704312076
2021-06-27,53.20852704312076
2021-06-28,53.20852704312076
2021-06-29,53.20500470116629
2021-06-30,53.19387792028246
2021-07-01,53.26022388726486
2021-07-02,53.25181464756545
2021-07-03,53.25181464756545
2021-07-04,53.25181464756545
2021-07-05,53.25181464756545
2021-07-06,53.35
2021-07-07,53.31
2021-07-08,53.28
2021-07-09,53.3
2021-07-10,53.3
2021-07-11,53.3
2021-07-12,53.39203369227173
2021-07-13,53.35576771371946
2021-07-14,53.32135890639597
2021-07-15,53.41772221208155
2021-07-16,53.42159239298548
2021-07-17,53.42159239298548
2021-07-18,53.42159239298548
2021-07-19,53.02744695804495
2021-07-20,53.000740682862684
2021-07-21,53.19402960968437
2021-07-22,53.056649526800435
2021-07-23,53.100726328100656
2021-07-24,53.100726328100656
2021-07-25,53.100726328100656
2021-07-26,53.11160704087931
2021-07-27,53.226447181003664
2021-07-28,53.194007538591286
2021-07-29,53.16149977729233
2021-07-30,53.22413934089829
2021-07-31,53.22413934089829
2021-08-01,53.22413934089829
2021-08-02,53.17619175254118
2021-08-03,53.2915049323692
2021-08-04,53.25989039212788
2021-08-05,53.17808814072112
2021-08-06,53.219039889159504
2021-08-07,53.219039889159504
2021-08-08,53.219039889159504
2021-08-09,53.256124311913354
2021-08-10,49.9653118390106
2021-08-11,53.14336594626315
2021-08-12,53.232553399389865
2021-08-13,53.28267711728151
2021-08-14,53.28267711728151
2021-08-15,53.28267711728151
2021-08-16,53.218229606004954
2021-08-17,53.15291117413198
2021-08-18,53.23884781677005
2021-08-19,52.791797729048454
2021-08-20,52.781473597316136
2021-08-21,52.781473597316136
2021-08-22,52.781473597316136
2021-08-23,52.73984636563307
2021-08-24,52.83009206770054
2021-08-25,52.803637212758325
2021-08-26,52.7496990473452
2021-08-27,52.83368876953245
2021-08-28,52.83368876953245
2021-08-29,52.83368876953245
2021-08-30,52.81975245428841
2021-08-31,52.90876203683907
2021-09-01,49.79879784579497
2021-09-02,52.868003949221496
2021-09-03,52.89853541779112
2021-09-04,52.89853541779112
2021-09-05,52.89853541779112
2021-09-06,53.018698086849554
2021-09-07,53.00112356387869
2021-09-08,52.98680516887873
2021-09-09,53.089489356579165
2021-09-10,53.146082557966636
2021-09-11,53.146082557966636
2021-09-12,53.146082557966636
2021-09-13,53.194084067968475
2021-09-14,53.19301737494861
2021-09-15,53.286558772920934
2021-09-16,53.25701828578049
2021-09-17,52.911053087976065
2021-09-18,52.911053087976065
2021-09-19,52.911053087976065
2021-09-20,52.91277128739169
2021-09-21,52.98868375543986
2021-09-22,52.95813420675822
2021-09-23,52.939742384838354
2021-09-24,52.995277749579095
2021-09-25,52.995277749579095
2021-09-26,52.995277749579095
2021-09-27,53.14677135324506
2021-09-28,53.15512047318441
2021-09-29,53.14646572358697
2021-09-30,53.14646572358697
2021-10-01,53.14646572358697
2021-10-02,53.14646572358697
2021-10-03,53.14646572358697
2021-10-04,52.89173109290938
2021-10-05,52.8042611147424
2021-10-06,50.25113498849998
2021-10-07,53.54514197374119
2021-10-08,53.53966784404623
2021-10-09,53.53966784404623
2021-10-10,53.53966784404623
2021-10-11,53.66
2021-10-12,53.66
2021-10-13,53.73533114148563
2021-10-14,53.64579976524005
2021-10-15,53.7169500357197
2021-10-16,53.7169500357197
2021-10-17,53.7169500357197
2021-10-18,53.823546599746926
2021-10-19,53.56438293053178
2021-10-20,53.54456747634125
2021-10-21,53.619656216981845
2021-10-22,53.69319350462191
2021-10-23,53.69319350462191
2021-10-24,53.69319350462191
2021-10-25,53.70798233474523
2021-10-26,53.671751046427815
2021-10-27,53.76339197096828
2021-10-28,53.789879418975445
2021-10-29,53.78352229957325
2021-10-30,53.78352229957325
2021-10-31,53.78352229957325
2021-11-01,53.78352229957325
2021-11-02,53.80600308299801
2021-11-03,53.90467385015855
2021-11-04,53.904337682579474
2021-11-05,53.955374456433155
2021-11-06,53.955374456433155
2021-11-07,53.955374456433155
2021-11-08,53.96580525590375
2021-11-09,54.03178320480548
2021-11-10,54.01587508010037
2021-11-11,53.99359828393789
2021-11-12,54.06389126859476
2021-11-13,54.06389126859476
2021-11-14,54.06389126859476
2021-11-15,54.19623567256857
2021-11-16,54.13
2021-11-17,54.12
2021-11-18,54.2
2021-11-19,53.92
2021-11-20,53.92
2021-11-21,53.92
2021-11-22,53.92
2021-11-23,54.15318445081572
2021-11-24,54.027292336784704
2021-11-25,53.997998765099055
2021-11-26,54.07611305706666
